# Size #Distancia #error #cantidad
50.000000 1.708006 0.133642 40.000000
65.000000 1.721322 0.200597 20.000000
200.000000 1.100959 0.050506 30.000000
80.000000 1.417849 0.101625 30.000000
160.000000 1.308976 0.088690 30.000000
250.000000 1.053721 0.041356 30.000000
100.000000 1.228651 0.072860 30.000000
60.000000 1.576903 0.101137 50.000000
180.000000 1.095700 0.049613 30.000000
55.000000 1.805041 0.137252 50.000000
70.000000 1.491063 0.091733 50.000000
170.000000 1.181844 0.067656 30.000000
500.000000 1.196846 0.101866 14.000000
350.000000 1.050501 0.040670 30.000000
125.000000 1.257702 0.085370 24.000000
300.000000 1.082819 0.047479 30.000000
150.000000 1.329940 0.080124 42.000000
400.000000 1.084070 0.047642 30.000000
130.000000 1.251425 0.078005 30.000000
90.000000 1.305769 0.101493 20.000000
75.000000 1.426169 0.104514 30.000000
450.000000 1.043917 0.048526 20.000000
