# Size #Distancia #error #cantidad
150.000000 1.708006 0.133642 40.000000
40.000000 1.091146 0.048269 30.000000
60.000000 1.402836 0.084230 39.000000
170.000000 1.859604 0.231939 20.000000
160.000000 1.822896 0.167466 36.000000
90.000000 1.667097 0.107381 45.000000
55.000000 1.410151 0.093205 40.000000
35.000000 1.070237 0.042081 35.000000
30.000000 1.064050 0.040993 35.000000
105.000000 1.747203 0.086024 87.000000
75.000000 1.538486 0.100373 45.000000
80.000000 1.554288 0.099360 44.000000
25.000000 0.989617 0.029081 35.000000
100.000000 1.737532 0.079764 97.000000
110.000000 1.820602 0.095229 87.000000
85.000000 1.546071 0.091956 50.000000
120.000000 1.827647 0.109028 66.000000
130.000000 1.782132 0.140109 45.000000
50.000000 1.266259 0.065307 40.000000
140.000000 1.746843 0.135320 44.000000
65.000000 1.557347 0.116972 35.000000
45.000000 1.249458 0.071823 35.000000
70.000000 1.453322 0.085958 45.000000
95.000000 1.762289 0.132291 36.000000
